labelTypeName,labelSheetWidth,labelSheetHeight,topMargin,bottomMargin,leftMargin,rightMargin,numberOfRows,numberOfColumns,horizontalGutter,verticalGutter
Avery 2160 Bottom,8.5,11,5.5,0.5,0.81,0.81,4,1,0,0
Avery 2160 Top,8.5,11,0.5,5.5,0.81,0.81,4,1,0,0
Avery 2162 Bottom,8.5,11,5.5,0.5,0.125,0.125,3,1,0,0
Avery 2162 Top,8.5,11,0.5,5.5,0.125,0.125,3,1,0,0
Avery 2163 Bottom,8.5,11,5.5,0.5,0.125,0.125,2,1,0,0
Avery 2163 Top,8.5,11,0.5,5.5,0.125,0.125,2,1,0,0
Avery 2164 Bottom,8.5,11,5.844,0.844,0.125,0.125,1,1,0,0
Avery 2164 Top,8.5,11,0.844,5.844,0.125,0.125,1,1,0,0
Avery 5159,8.5,11,0.25,0.25,0.156,0.156,7,2,0.188,0
Avery 5160,8.5,11,0.5,0.5,0.188,0.188,10,3,0.125,0
Avery 5161,8.5,11,0.5,0.5,0.156,0.156,10,2,0.188,0
Avery 5162,8.5,11,0.833,0.833,0.156,0.156,7,2,0.188,0
Avery 5163,8.5,11,0.5,0.5,0.17,0.17,5,2,0.16,0
Avery 5164,8.5,11,0.5,0.5,0.156,0.156,3,2,0.188,0
Avery 5167,8.5,11,0.5,0.5,0.3,0.3,20,4,0.3,0
Avery 5168,8.5,11,0.5,0.5,0.5,0.5,2,2,0.5,0
Avery 5260,8.5,11,0.5,0.5,0.188,0.188,10,3,0.125,0
Avery 5261,8.5,11,0.5,0.5,0.156,0.156,10,2,0.188,0
Avery 5262,8.5,11,0.833,0.833,0.156,0.156,7,2,0.188,0
Avery 5263,8.5,11,0.5,0.5,0.17,0.17,5,2,0.16,0
Avery 5264,8.5,11,0.5,0.5,0.156,0.156,3,2,0.188,0
Avery 5267,8.5,11,0.5,0.5,0.3,0.3,20,4,0.3,0
Avery 5510,8.5,11,0.5,0.5,0.188,0.188,10,3,0.125,0
Avery 5512,8.5,11,0.833,0.833,0.156,0.156,7,2,0.188,0
Avery 5513,8.5,11,0.5,0.5,0.17,0.17,5,2,0.16,0
